"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"Marker Developed/Gene Identified",2,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","3c93669f-3e39-4a6b-8226-1146b38ad891",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology fully commercialized/Product commercially available to consumers",9,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","3ce3c4a2-fd6c-4ab2-9285-cdaa55dabd98",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product ready for full-scale commercial production (replicable without error)",8,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","3d3dc020-d0ad-4862-9fe3-c9273ab345c9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"User Guide/manual for system created",5,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","3dc35b7c-448f-4c5b-b308-7e7edfb83245",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First industry-scale production Initiated",6,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","3dd95e84-fe96-4efc-b360-94d606813cd8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Contained Field Trial/Confined Test for GM Crops Conducted",5,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","3e5c45b8-5a22-480e-bb90-936e65dd7e42",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","3eeb0330-9e55-47bc-820e-d45334e4ea9d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Procesing of DA-BPI Biosafety Permit for Confined Field Trials",5,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","3fb9bc6c-0059-42eb-8fad-3bec21d8f3d6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion Conducted",5,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","4016509e-d10a-4c3d-a091-edb0247d3d85",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Working system/application developed (integrated prototype)",3,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","404d2736-ee67-4125-ac46-599f946b2158",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"HACCP/HALAL Certified (if Necessary/Check if not applicable)",8,"Food, Food Ingredients and Beverages","Regulatory Compliance Status","/trlquestions/food%2C-food-ingredients-and-beverages","40ba3328-9ff2-4f9c-b365-f15e3de5c31e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","40eb7722-7390-485f-bff9-afe9088bf211",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","40ef73dc-6108-4602-a4d0-4ede1b6f7baa",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","41cf243a-9eeb-42f1-8787-0ab0ec5f33c6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","42edddf0-0c1c-452c-9bea-78179b65a159",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification Secured",8,"ICT (Apps and System involving IoT)","Regulatory Compliance Status","/trlquestions/ict-(apps-and-system-involving-iot)","4451681b-d786-4d8e-8c8b-8a6ee7dae2ff",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","44535eb3-7eac-403b-a7c5-7f471413b322",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","44877e30-2101-4dfb-826c-938df3316e0c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","44b4625c-8baf-40dc-82d8-97349eaffa4f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Industry feedback collected",6,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","45e36a7f-2a51-4fb3-ada0-f077639be97b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","46801b32-4ea5-4926-865e-3595f01edf59",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","479e88e6-1982-4de8-b3ae-085fc72519ac",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Early-stage engagement with potential end-users for feedback",4,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","47b71596-99c3-403b-9d06-8764fe1bf1fb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Production/assembly manual established for scalable manufacturing",6,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","491694f8-15e1-4d9f-bb98-3c333c948490",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Engagement with seed growers for seed multiplication tests",6,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","495ec5db-584d-4509-98dc-f7ae12dc5356",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion and packaging conducted",5,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","4a922e97-4e38-436a-b82d-99624e0be522",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Device/kit validated with positive result under laboratory or controlled field conditions",4,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","4cd45aa5-f3ca-4ddc-b23a-e2fc18bed821",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","4daa28c8-8b95-44e7-a020-71882cb2b700",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Formulation optimized based on initial results of feeding trial (check if not applicable)",3,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","4db46245-2b52-48a4-9104-5d12e2dca4ce",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","4eb9cff6-12e8-446c-a9f3-834aea9b187f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Engagement with breeding partners or commercial operators",7,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","4f221573-b622-4115-823a-86af891494e9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",5,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","4f227655-8616-4f28-9252-60fd87a5ba3a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","4f4d3700-1fbb-4090-9c9c-793f9061f2ea",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","505dc52b-cd3b-480b-8daa-ee19ccfa4d6f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial coding completed",2,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","5064d1d8-e45a-4040-8e3c-66075e290f05",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Working prototype/device refined for usability, accuracy, and/or portability",3,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","516bff18-6cf6-4deb-a79c-6c40c8518433",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept Development Completed",1,"Animal Biotechnology","Technology Status","/trlquestions/animal-biotechnology","52025b9a-6560-43c4-a7d1-433d1fb09001",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Progeny produced and screened for presence of target traits",3,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","521dd7be-26fb-42c4-a3fb-027bd6136ad4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","53613146-57c6-4cb1-b5d7-32c923aa1f54",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential users or target beneficiaries identified",1,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","53e8adb8-7489-427f-acdf-f89c0039c348",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","5461c083-379d-4d95-b718-d005d510d120",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","55303ce0-7232-4090-9857-de8c6d08ac2b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Controlled Enviroinmental Studies (please specify)",3,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","565c2836-4289-4cc0-b6b4-5bef05ad93e1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Laboratory-scale sample produced",3,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","5813cbc9-8405-472a-92a9-2b4820c420d8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","583754c4-d974-44fa-8465-da90f9bc3fd9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Regulatory or standards compliance completed",8,"Natural Resource & Derived Materials","Regulatory Compliance Status","/trlquestions/natural-resource-%26-derived-materials","587977ae-090e-4de6-a1f6-dbf1aad700c8",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","5919975a-b896-45c7-aa89-ddce412aa978",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial market tests conducted (trade shows, limited release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition","Market and Commercialization Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","5a007649-2681-465f-8c06-a0ec6b045d79",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Source code completed",3,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","5a3f6b6d-c9c3-4ee7-aeaa-5fa0170abe30",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","5a4b8ae8-ce06-41ca-a07c-26667268589b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Multi-location trials conducted to evaluate performance across environments",6,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","5a652037-64cc-4b77-b74d-c335d22e6d2c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Established Storage Stability",4,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","5a9f99af-92ee-45f7-a77b-d9d6a6c0d008",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial assessment on the potential user",2,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","5ac77b7e-f140-4eeb-82a3-2195e1fe7abf",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","5ba59c7f-e4dd-4580-8c57-52d7eff05095",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry partners for product testing secured",6,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","5cdc6859-73a6-4913-b4c6-a5bc7a6dcfed",2026-02-03T08:26:38Z,2026-02-05T12:45:29Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Genetic Analytical Protocol Established",2,"Animal Biotechnology","Technology Status","/trlquestions/animal-biotechnology","5cde9861-4fc4-4864-adfe-75b5b131e5bb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Seed Certification Obtained",8,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","5d2c5869-eecb-479e-9c0f-bf363422c801",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Plant genetics, traits, and breeding foundation reviewed",2,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","5d45fbb3-0579-483d-a068-b0ce9c32f341",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Ready for commercial-scale production (replicable/ operational without error)",8,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","5d67f693-2c64-4862-8ef1-4ea79c4b5a5c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","5f6b4bbe-da61-45d0-8e7c-9f939ae9bf79",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential end-users and target markets identified",1,"New Plant Variety (Gene-Edited and GM)","Market and Commercialization Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","601cf002-9c75-4201-a821-909e9e570dcb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Agri-Aqua Machinery and Facility","Market and Commercialization Status","/trlquestions/agri-aqua-machinery-and-facility","60734358-64f3-4a0f-bde2-7755ef820b9b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proximate Analysis Conducted",3,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","60eed9d1-b173-4215-a8f8-069b8aff76c5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standardized manual for industry-scale production established",7,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","6275beb3-4cf4-4f50-8343-45f10404a445",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"New animal breed fully commercialized/Breed commercially available to target users",9,"New Animal Breed (Aquatic and Terrestrial)","Market and Commercialization Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","6319331d-6d74-461a-842b-f9e5e105725e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA) Approval/Certification",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Regulatory Compliance Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","64920944-126f-43bc-9275-58ee13d350a2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","655b469e-155f-49cf-9fbf-cd3a1a8ff9d6",2026-02-03T08:26:38Z,2026-02-06T15:55:52Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary user or industry feedback obtained",6,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","6618bcbd-bc9c-4082-ba5d-3e8117b41d06",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Toxicity Test Conducted",3,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","664e7347-3ba9-4485-85a6-3e4dc21815d4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","66c4e0b2-2972-47c5-8b85-4a77fa57b492",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Breeding Planned Prepared",2,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","67cbb4c4-c40f-4f06-8455-ef8b9a41ddb3",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Demonstrated performance in intended application (e.g., wall panel, packaging unit)",6,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","6976da33-ccfd-401d-a801-5cc871dc171e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","698d322f-d256-4763-82bb-b675403bb6cc",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Stable lines/strain or family groups selected",5,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","69acafe2-ed44-4a03-af7d-b20a26b58f75",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","6a1d8e73-681c-47d7-a67b-bdda7d1c85c5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","6aee38ee-028d-441f-a210-26be6f1c9db9",2026-02-03T08:26:38Z,2026-02-05T12:45:03Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Prototype material or product fabricated",6,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","6b1f4822-27ec-4bcb-833f-84437f43a5d3",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product tested for scaled-up pilot production",6,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","6e03cc82-cca0-4b7a-ad79-12466be3255f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","6fde2e8a-b4a3-472f-a58f-b447be2049d5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Industry Adoption Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","70be8c89-af3c-42a3-8744-011ebd148237",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion Conducted",5,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","70cb4302-d8b4-4e34-8767-c4cbad914c13",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","7125c0e8-3677-4cd7-91de-8d6b98b49182",2026-02-03T08:26:38Z,2026-02-06T15:56:42Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","71530b55-bad1-4ea8-94fb-cea54033bc7e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","71ceddf2-8490-40d3-a3ba-55cde751015e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
